item_id,verdict,note
AL0001,answers,
AL0002,answers,
AL0003,does_not_answer,按宠物连接后未去重，同一学生 Tracy 返回两次；问题要求学生名单。
AL0004,answers,
AL0005,does_not_answer,机场城市带尾空格，航班机场代码带前导空格，原连接和筛选返回0；去除空格后到达Aberdeen的航班为21班。
AL0006,does_not_answer,SourceAirport实际带前导空格，直接匹配CVO/APG返回空集；规范化后有4家符合条件的航空公司。
AL0007,does_not_answer,birth_date为YYYYMMDD整数，strftime无法解析，排序键全部为NULL，未按年龄排序。
AL0008,answers,
AL0009,answers,
AL0010,answers,
AL0011,answers,
AL0012,answers,
AL0013,answers,
AL0014,answers,
AL0015,answers,
AL0016,answers,
AL0017,answers,
AL0018,answers,
AL0019,does_not_answer,按单次visit的Total_spent排序，未按访客汇总所有门票支出；虽碰巧返回同一人，聚合含义不符。
AL0020,answers,
AL0021,answers,
AL0022,does_not_answer,最早年份1970有35辆车，LIMIT 1只返回其中一辆，遗漏其余最早生产的车。
AL0023,answers,
AL0024,answers,
AL0025,answers,
AL0026,answers,
AL0027,answers,
AL0028,answers,
AL0029,answers,
AL0030,answers,
AL0031,answers,
AL0032,answers,
AL0033,answers,
AL0034,does_not_answer,INNER JOIN遗漏没有演唱会的歌手Joe Sharp，不能给出每位歌手的场次数。
AL0035,answers,
AL0036,answers,
AL0037,answers,
AL0038,question_underspecified,cheapest overall未明确按每类平均费用还是累计费用衡量；此SQL采用平均费用。
AL0039,answers,
AL0040,question_underspecified,未明确above average是相对全库城市平均人口还是各区内平均人口；SQL采用全库平均。
AL0041,answers,
AL0042,answers,
AL0043,answers,
AL0044,answers,
AL0045,answers,
AL0046,answers,
AL0047,does_not_answer,存在时长升序应对应创立年份降序；此SQL按创立年份升序，方向相反。
AL0048,answers,
AL0049,answers,
AL0050,answers,
AL0051,answers,
AL0052,answers,
AL0053,answers,
AL0054,does_not_answer,Africa是Continent值而非Region值；原SQL返回NULL，正确筛选非洲共和国后有有效平均值。
AL0055,answers,
AL0056,does_not_answer,MPG为文本且含字符串null，MAX按文本取到null字符串，不是数值最大油耗里程。
AL0057,answers,
AL0058,answers,
AL0059,question_underspecified,未明确频道须同时播放两位导演的作品，还是任一位即可；SQL采用后者。
AL0060,answers,
AL0061,answers,
AL0062,answers,
AL0063,answers,
AL0064,answers,
AL0065,question_underspecified,cheapest overall未指定以最低单次费用、平均费用还是累计费用比较类型；此SQL按单次最低费用。
AL0066,does_not_answer,DestAirport存为带前导空格的ATO代码，原SQL返回0；TRIM后实际为7班。
AL0067,answers,
AL0068,answers,
AL0069,answers,
AL0070,answers,
AL0071,does_not_answer,Continent实际为North America，north america大小写不匹配，返回两个NULL而不是人口合计及均值。
AL0072,answers,
AL0073,answers,
AL0074,answers,
AL0075,answers,
AL0076,answers,
AL0077,question_underspecified,sold than 300000缺少more/less等比较词，阈值方向未说明；SQL假定为大于。
AL0078,answers,
AL0079,answers,
AL0080,answers,
AL0081,question_underspecified,youngest未指定以age还是出生日期为准，两字段在库中矛盾：最小age对应Evangeline，最新出生日期对应Jeffrey。
AL0082,answers,
AL0083,answers,
AL0084,answers,
AL0085,answers,
AL0086,answers,
AL0087,answers,
AL0088,does_not_answer,对model_list和car_makers的额外内连接遗漏了重量大于3500且无对应制造商记录的hi车型。
AL0089,does_not_answer,DestAirport值带前导空格，APG直接等值匹配返回空集；实际有11班到达APG。
AL0090,answers,
AL0091,does_not_answer,Tracy有两只狗，未去重导致同一学生返回两次，不是逐位学生的名单。
AL0092,does_not_answer,只要求在两个赛事中各赢过一场，未限定决赛胜者；赢小组赛不等于赢得赛事冠军。
AL0093,answers,
AL0094,answers,
AL0095,answers,
AL0096,does_not_answer,筛选非英语的语言记录不等于排除使用英语的国家，会纳入同时使用英语和其他语言的国家。
AL0097,answers,
AL0098,answers,
AL0099,answers,
AL0100,answers,
AL0101,answers,
AL0102,answers,
AL0103,answers,
AL0104,answers,
AL0105,answers,
AL0106,answers,
AL0107,answers,
AL0108,does_not_answer,航班SourceAirport带前导空格，直接匹配AHD返回空集，TRIM后有8家航空公司符合。
AL0109,answers,
AL0110,answers,
AL0111,answers,
AL0112,does_not_answer,DestAirport带前导空格，原SQL返回0；实际有1班United Airlines航班到达ASY。
AL0113,does_not_answer,APG机场代码在flights中带前导空格，等值筛选遗漏实际11班到达航班。
AL0114,answers,
AL0115,answers,
AL0116,answers,
AL0117,answers,
AL0118,does_not_answer,比较的是亚洲单个国家内的语言比例，不能表示全亚洲最流行的语言；按人数汇总时不是Dhivehi。
AL0119,answers,
AL0120,answers,
AL0121,answers,
AL0122,answers,
AL0123,answers,
AL0124,answers,
AL0125,answers,
AL0126,answers,
AL0127,answers,
AL0128,answers,
AL0129,does_not_answer,只排除Friend.student_id，遗漏作为friend_id出现的朋友关系；例如Brittany有朋友却被计为无朋友。
AL0130,answers,
AL0131,answers,
AL0132,does_not_answer,连接多期rankings后重复放大胜场数且取任意积分；实际胜场最多为Angelique Kerber（22场），不是返回的Serena。
AL0133,does_not_answer,最早年份有35辆车，LIMIT 1遗漏其他同为1970年生产的车辆。
AL0134,answers,
AL0135,answers,
AL0136,answers,
AL0137,answers,
AL0138,answers,
AL0139,answers,
AL0140,answers,
AL0141,answers,
AL0142,answers,
AL0143,answers,
AL0144,answers,
AL0145,answers,
AL0146,does_not_answer,SourceAirport实际带前导空格，原SQL计数0；规范化后APG出发航班为11班。
AL0147,answers,
AL0148,answers,
AL0149,question_underspecified,未明确频道必须同时播放两位导演作品，还是播放任一位的作品即可；SQL采用后者。
AL0150,answers,
AL0151,does_not_answer,航班代码前导空格和城市名尾空格使连接及条件不匹配，返回0；规范化后Aberdeen至Ashley为2班。
AL0152,answers,
AL0153,answers,
AL0154,does_not_answer,实际分类值为US Territory，不含United States字样，原SQL返回两个NULL而非所需统计。
AL0155,answers,
AL0156,question_underspecified,最年轻可按age或date_of_birth判断，但两字段在本库冲突；SQL按出生日期选择Mertz而非最小age对应的Nicolas。
AL0157,answers,
AL0158,does_not_answer,birth_date为YYYYMMDD整数，strftime返回NULL，故左手球员结果没有按年龄排序。
AL0159,does_not_answer,COUNT(Language)统计语言数量，不是问题要求的国籍数量，不能将两者等同。
AL0160,answers,
AL0161,answers,
AL0162,answers,
AL0163,answers,
AL0164,does_not_answer,筛选存在非English Channel船只不等于没有English Channel失船；结果反而包含有此类失船的战役，并遗漏无失船战役。
AL0165,answers,
AL0166,answers,
AL0167,answers,
AL0168,answers,
AL0169,answers,
AL0170,answers,
AL0171,answers,
AL0172,answers,
AL0173,answers,
AL0174,does_not_answer,以语言记录数代替国籍数，统计对象与问题不符。
AL0175,does_not_answer,Original_air_date为英文月份文本，字典序降序选中2008-11-21；实际最新为2009-02-27，代码112、频道707。
AL0176,answers,
AL0177,answers,
AL0178,answers,
AL0179,answers,
AL0180,does_not_answer,仅检查Friend.student_id，未检查friend_id；把只有入向记录但实际有朋友的学生误判为无朋友。
AL0181,answers,
AL0182,answers,
AL0183,does_not_answer,多期排名连接使每场胜利重复计数，按积分分组又切碎球员胜场；返回Karolina，而实际最多胜场为Angelique Kerber。
AL0184,does_not_answer,Africa应匹配Continent而非Region；原SQL筛不到非洲国家，均值为NULL。
AL0185,answers,
AL0186,does_not_answer,City实际为带尾空格的Anthony，直接等值比较返回空集而遗漏对应机场。
AL0187,does_not_answer,airports.City带尾空格，flights.SourceAirport带前导空格，两处直接比较使实际航班被遗漏。
AL0188,answers,
AL0189,answers,
AL0190,answers,
AL0191,answers,
AL0192,answers,
AL0193,does_not_answer,未处理机场代码前导空格和城市名尾空格，计数0；规范化后Aberdeen至Ashley有2班。
AL0194,answers,
AL0195,answers,
AL0196,answers,
AL0197,answers,
AL0198,does_not_answer,连接及城市筛选未处理数据库中的空格，错误返回0，实际该路线有2班。
AL0199,does_not_answer,Original_air_date为英文月份文本，按字典序排序不等于按播出日期排序。
AL0200,answers,
AL0201,answers,
AL0202,answers,
AL0203,answers,
AL0204,answers,
AL0205,does_not_answer,机场代码和城市名含额外空格，直接连接筛选得0，规范化后该路线有2班。
AL0206,does_not_answer,more than any country要求超过非洲所有国家，即比较MAX(Population)；SQL比较MIN，仅表示超过至少一个。
AL0207,does_not_answer,City列的Anthony带尾空格，等值条件不匹配，未返回实际机场。
AL0208,does_not_answer,COUNT(*)重复计算在多个国家出现的同一种语言；比较各洲语言数量应按Language去重。
AL0209,answers,
AL0210,answers,
AL0211,answers,
AL0212,answers,
AL0213,does_not_answer,缺少PetType为dog的条件，选的是所有宠物中的最年轻者；本库恰好是狗不代表筛选语义正确。
AL0214,answers,
AL0215,does_not_answer,MPG含文本null，CAST会将这些缺失值变为0并参与平均，导致4缸汽车平均MPG被低估。
AL0216,does_not_answer,直接相加各国百分比忽略人口基数，不能得到亚洲总体最普及语言；按语言使用人数汇总结果不同。
AL0217,answers,
AL0218,answers,
AL0219,answers,
AL0220,answers,
AL0221,does_not_answer,DISTINCT作用于姓名和排名组合，结果三行均为Madison Keys，未给出三位不同的最年轻获胜者。
AL0222,does_not_answer,DestAirport的APG带前导空格，原SQL返回空集，遗漏实际到达航班。
AL0223,does_not_answer,Europe是Continent而非Region，子查询MAX为NULL，无法进行正确的欧洲面积比较。
AL0224,answers,
AL0225,question_underspecified,more than once未明确是累计参观多次还是同一博物馆重复参观；SQL只检查每人总记录数大于1。
AL0226,answers,
AL0227,does_not_answer,YYYYMMDD整数生日无法由strftime直接解析，排序表达式为NULL，未按年龄排序。
AL0228,does_not_answer,机场代码带前导空格、城市名带尾空格，未规范化导致连接筛选失配并错误计数0。
AL0229,answers,
AL0230,answers,
AL0231,answers,
AL0232,does_not_answer,Region不存在Europe且使用MIN；应在Continent为Europe的国家中按题意比较最大面积。
AL0233,answers,
AL0234,answers,
AL0235,does_not_answer,SourceAirport前导空格和City尾空格未处理，查询错误返回0。
AL0236,does_not_answer,DestAirport实际带前导空格，直接匹配AHD返回空集而遗漏符合航班的航空公司。
AL0237,does_not_answer,连接排名历史将胜场按排名记录数重复放大，返回Serena而非实际22胜的Angelique Kerber，积分也未指定时点。
AL0238,does_not_answer,DestAirport中的ASY有前导空格，原SQL返回0，规范化后United Airlines有1班符合。
AL0239,answers,
AL0240,answers,
AL0241,answers,
AL0242,answers,
AL0243,answers,
AL0244,answers,
AL0245,answers,
AL0246,does_not_answer,只统计Kyle位于student_id端的关系，漏计friend_id端；Kyle实际有3名朋友而不是1名。
AL0247,answers,
AL0248,answers,
AL0249,answers,
AL0250,does_not_answer,缺少欧洲条件，结果包含日本和美国，不只欧洲国家。
AL0251,answers,
AL0252,answers,
AL0253,answers,
AL0254,does_not_answer,MPG为文本且含字符串null，直接降序排序选错车型；按数值最大MPG应选mazda。
AL0255,answers,
AL0256,does_not_answer,只保留英语被标为非官方的国家，遗漏根本没有英语记录但同样未以英语为官方语言的国家。
AL0257,question_underspecified,winners who played未明确两年都必须获胜，还是获胜过且两年均参赛；SQL采用两年均获胜。
AL0258,does_not_answer,DestAirport带前导空格，AHD等值匹配为空，未返回实际相关航空公司。
AL0259,does_not_answer,按州连接把州内所有区号都视为投票区号；应从实际投票电话号码确定区号，本库没有同一区号投给两人的记录。
AL0260,answers,
AL0261,answers,
AL0262,answers,
AL0263,answers,
AL0264,answers,
AL0265,answers,
AL0266,answers,
AL0267,answers,
AL0268,answers,
AL0269,answers,
AL0270,answers,
AL0271,answers,
AL0272,answers,
AL0273,answers,
AL0274,answers,
AL0275,answers,
AL0276,answers,
AL0277,question_underspecified,按年龄排序未指定升序或降序；生日升序对应年龄降序，两种方向均可能。
AL0278,answers,
AL0279,answers,
